Product,Price
"Telefon mobil Samsung Galaxy Z Fold3, 12GB RAM, 256GB, 5G, PHANTOM BLACK","6.080,78 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 256GB, 5G, Graphite","4.199,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 128GB, 5G, Graphite","4.424,99 Lei"
"Telefon mobil Samsung Galaxy Z Fold3, 12GB RAM, 256GB, 5G, PHANTOM SILVER","5.948,05 Lei"
"Telefon mobil Samsung Galaxy Z Fold3, 12GB RAM, 512GB, 5G, PHANTOM BLACK","6.499,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 128GB, 5G, CREAM","3.539,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 128GB, 5G, BLACK","3.332,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 256GB, 5G, Blue","4.599,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 128GB, 5G, Pink Gold","4.599,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 128GB, 5G, Blue","4.449,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 512GB, 5G, Graphite","4.449,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 128GB, 5G, Bora Purple","4.099,99 Lei"
"Telefon mobil Samsung Galaxy Z Fold3, 12GB RAM, 256GB, 5G, PHANTOM GREEN","5.755,40 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 256GB, 5G, Bora Purple","4.824,99 Lei"
"Telefon mobil Samsung Galaxy Z Fold3, 12GB RAM, 512GB, 5G, PHANTOM SILVER","6.498,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 256GB, 5G, Pink Gold","4.199,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 512GB, 5G, Blue","4.318,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 128GB, 5G, LAVENDER","3.409,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G, BLACK","3.899,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G, LAVENDER","4.050,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 512GB, 5G, Pink Gold","4.599,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G, CREAM","3.879,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip4, 8GB RAM, 512GB, 5G, Bora Purple","5.116,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 128GB, 5G, GREEN","3.679,00 Lei"
"Telefon mobil Samsung Galaxy Z Fold3, 12GB RAM, 512GB, 5G, PHANTOM GREEN","7.000,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip, Dual SIM, 256GB, 8GB RAM, 5G, Gray","4.449,00 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G, GREEN","4.249,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 128GB, 5G, PHANTOM BLACK","3.199,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip, Dual SIM, 256GB, 8GB RAM, Mirror Purple","3.599,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G, PHANTOM BLACK","3.849,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G,CREAM","3.699,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G, LAVENDER","3.749,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 256GB, 5G,GREEN","3.599,99 Lei"
"Telefon mobil Samsung Galaxy Z Flip3, 8GB RAM, 128GB, 5G, LAVENDER","3.799,99 Lei"
