Product,Price
"Telefon mobil Apple iPhone 12 Pro, 128GB, 5G, Silver","5.150,00 Lei"
"Telefon mobil OUKITEL WP12 Pro, Android 11, 4GB/64GB, Dual SIM 4G, IP68, Face ID/NFC, Rosu","761,60 Lei"
"Telefon mobil Apple iPhone 12 Pro Max, 128GB, 5G, Graphite","6.400,00 Lei"
"Telefon mobil Apple iPhone 12 Pro, 256GB, 5G, Graphite","5.399,99 Lei"
"Telefon mobil Motorola Edge 30, Dual SIM, 256GB, 8GB RAM, 5G, Meteor Grey","1.599,90 Lei"
"Telefon mobil Apple iPhone 12 Pro, 256GB, 5G, Pacific Blue","5.399,99 Lei"
"Telefon mobil Apple iPhone 12 Pro, 256GB, 5G, Gold","5.399,99 Lei"
"Telefon mobil Motorola Moto G62 , Dual SIM, 128GB, 4GB RAM, 5G, Midnight Grey","999,99 Lei"
"Telefon mobil Apple iPhone 12 Pro, 256GB, 5G, Silver","5.399,99 Lei"
"Telefon mobil Apple iPhone 12, 128GB, 5G, Black","4.099,99 Lei"
"Telefon mobil Motorola Edge 30 Neo, Dual SIM, 128GB, 8GB RAM, 5G, Onyx Black","1.399,99 Lei"
"Telefon mobil Apple iPhone 12, 64GB, 5G, Black","3.348,00 Lei"
"Telefon mobil Apple iPhone 12 mini, 128GB, 5G, White","2.999,99 Lei"
"Telefon mobil Motorola Edge 30 Fusion, Dual SIM, 128GB, 8GB RAM, 5G, Viva Magenta + Casti Moto BUDS 600 ANC, True Wireless Earbuds","2.499,90 Lei"
"Telefon mobil Apple iPhone 12 mini, 128GB, 5G, Black","3.799,99 Lei"
"Telefon mobil Apple iPhone 12 mini, 64GB, 5G, Black","3.449,00 Lei"
"Telefon mobil Motorola Moto g72, Dual SIM, 128GB, 8GB RAM, Meteorite Grey","1.199,99 Lei"
"Telefon mobil Apple iPhone 12, 64GB, 5G, White","3.648,00 Lei"
"Telefon mobil Apple iPhone 12 Pro Max, 256GB, 5G, Pacific Blue","7.000,00 Lei"
"Telefon mobil Motorola Edge 20 Lite, 128GB, 8GB RAM, 5G, Lagoon Green","1.149,99 Lei"
"Telefon mobil Apple iPhone 12 mini, 128GB, 5G, Blue","2.999,99 Lei"
"Telefon mobil Apple iPhone 12, 128GB, 5G, (PRODUCT)RED","3.849,00 Lei"
"Telefon mobil Motorola Edge 30 Ultra, Dual SIM, 256GB, 12GB RAM, 5G, Starlight White","3.799,99 Lei"
"Telefon mobil Apple iPhone 11, 64GB, Black","2.379,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Sierra Blue","6.664,99 Lei"
"Telefon mobil Apple iPhone 12, 128GB, 5G, Blue","3.949,00 Lei"
"Telefon mobil Apple iPhone 11, 64GB, White","2.289,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 128GB, 5G, Space Black","6.339,99 Lei"
"Telefon mobil Apple iPhone 12, 128GB, 5G, White","4.397,73 Lei"
"Telefon mobil Apple iPhone 11 Pro Max, 512GB, Gold","5.600,00 Lei"
"Telefon mobil Apple iPhone 11, 128GB, Black","2.639,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 128GB, 5G, Space Black","7.069,99 Lei"
"Telefon mobil Apple iPhone 12, 64GB, 5G, Blue","3.699,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 128GB, 5G, Silver","6.339,99 Lei"
"Telefon mobil Apple iPhone 12, 64GB, 5G, Green","3.799,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 256GB, 5G, Deep Purple","7.699,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 256GB, 5G, Deep Purple","6.969,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 256GB, 5G, Space Black","7.699,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 128GB, 5G, Gold","6.339,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 128GB, 5G, Deep Purple","6.339,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 256GB, 5G, Gold","7.699,99 Lei"
"Telefon mobil Iphone 12 PRO MAX ,256 GB,placat cu aur si piele de crocodil gri","13.700,01 Lei"
"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Graphite","7.300,00 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 128GB, 5G, Deep Purple","7.069,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 256GB, 5G, Space Black","6.969,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 1TB, 5G, Graphite","7.819,05 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 128GB, 5G, Silver","7.069,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 128GB, 5G, Gold","7.069,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 256GB, 5G, Sierra Blue","7.599,99 Lei"
"Telefon mobil Apple iPhone 12, 64GB, 5G, Purple","3.819,99 Lei"
"Telefon mobil Apple iPhone 13 Pro Max, 256GB, 5G, Graphite","7.981,97 Lei"
"Telefon mobil Apple iPhone 12, 128GB, 5G, Green","3.943,19 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 1TB, 5G, Deep Purple","9.999,99 Lei"
"Telefon mobil Apple iPhone 13 Pro Max, 1TB, 5G, Sierra Blue","8.579,35 Lei"
"Telefon mobil Apple iPhone 13 Pro, 1TB, 5G, Gold","7.487,69 Lei"
"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Silver","7.399,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 128GB, 5G, Alpine Green","6.399,00 Lei"
"Telefon mobil Apple iPhone 13 Pro Max, 256GB, 5G, Sierra Blue","8.349,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 256GB, 5G, Silver","7.699,99 Lei"
"Telefon mobil Apple iPhone 12, 128GB, 5G, Purple","3.851,03 Lei"
"Telefon mobil Apple iPhone 13 Pro, 256GB, 5G, Graphite","7.599,99 Lei"
"Telefon mobil Apple iPhone 13 Pro Max, 256GB, 5G, Alpine Green","8.099,00 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 512GB, 5G, Deep Purple","8.979,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 256GB, 5G, Gold","6.849,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 256GB, 5G, Silver","6.969,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 1TB, 5G, Gold","9.999,99 Lei"
"Telefon mobil Apple iPhone 11 Pro Max, 512GB, Space Grey","5.600,00 Lei"
"Telefon mobil Apple iPhone 11, 128GB, White","3.449,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 1TB, 5G, Space Black","9.999,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 512GB, 5G, Deep Purple","8.249,99 Lei"
"Telefon mobil Apple iPhone 12 mini, 128GB, 5G, Purple","3.799,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 1TB, 5G, Silver","9.999,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 512GB, 5G, Gold","8.979,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 512GB, 5G, Space Black","8.979,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 256GB, 5G, Alpine Green","7.549,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 256GB, 5G, Gold","6.999,00 Lei"
"Telefon mobil Apple iPhone 12, 64GB, 5G, (PRODUCT)RED","3.599,99 Lei"
"Telefon mobil Apple iPhone 11, 64GB, Red","2.523,11 Lei"
"Telefon mobil Apple iPhone 14 Pro, 1TB, 5G, Space Black","9.399,99 Lei"
"Telefon mobil Apple iPhone 12 mini, 64GB, 5G, (PRODUCT)RED","3.499,00 Lei"
"Telefon mobil Apple iPhone 12 mini, 64GB, 5G, Purple","3.159,99 Lei"
"Telefon mobil Apple iPhone 14 Pro Max, 512GB, 5G, Silver","8.979,99 Lei"
"Telefon mobil Apple iPhone 11 Pro Max, 256GB, Space Grey","5.499,99 Lei"
"Telefon mobil Apple iPhone 11, 128GB, Red","3.299,99 Lei"
"Telefon mobil Apple iPhone 8, 64GB, 4G, Gold","1.550,00 Lei"
"Telefon mobil Apple iPhone 11, 64GB, Purple","2.941,18 Lei"
"Telefon mobil Apple iPhone 14 Pro, 512GB, 5G, Space Black","8.249,99 Lei"
"Telefon mobil Apple iPhone 11, 128GB, Green","3.449,00 Lei"
"Telefon mobil Apple iPhone 13 Pro Max, 1TB, 5G, Alpine Green","8.819,99 Lei"
"Telefon mobil Apple iPhone 11, 64GB, Green","4.594,99 Lei"
"Telefon mobil Apple iPhone 12, 256GB, 5G, Purple","4.639,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 1TB, 5G, Deep Purple","9.499,99 Lei"
"Telefon mobil Apple iPhone 13 mini, 128GB, 5G, Midnight","3.749,99 Lei"
"Telefon mobil Apple iPhone 12, 256GB, 5G, Black","5.125,00 Lei"
"Telefon mobil Apple iPhone XR, 64GB, Black","2.274,99 Lei"
"Telefon mobil Apple iPhone 14 Pro, 512GB, 5G, Gold","8.249,99 Lei"
"Telefon mobil Apple iPhone XS, 64GB, Space Grey","2.030,73 Lei"
"Telefon mobil Apple iPhone 14 Pro, 1TB, 5G, Silver","9.349,99 Lei"
"Telefon mobil Apple iPhone 13 Pro, 1TB, 5G, Sierra Blue","8.499,99 Lei"
"Telefon mobil Apple iPhone 13, 128GB, 5G, Pink","4.199,99 Lei"
